covert                                                      비밀의
covet                                                       갈망하다
untruthful                                                  거짓말을 하는
contrite                                                    참회하는
contrived                                                   억지스러운
conventional                                                관례적인

decimate                                                    크게 감소시키다
decorum                                                     품위
deference                                                   존경

monument                                                    기념물
credulous                                                   잘 믿는
convey                                                      전달하다
convivial                                                   명랑한
cultivate                                                   재배하다
daring                                                      대담한
dearth                                                      부족, 결핍
debunk                                                      (생각이)틀렸음을 밝히다
decadent                                                    퇴폐적인
deceive                                                     속이다
decisive                                                    결정적인
decline                                                     쇠퇴하다/거절하다








                                                
