conservative                                        보수적인
flaunt                                              과시하다
restrain                                            억누르다
detachment                                          무심함/객관성

assessment                                          평가
attainment                                          성과
appraisal                                           평가
gaiety                                              흥겨움
contention                                          논쟁
complacent                                          현실에 안주하는 
complementary                                       상호보완적인
incipient                                           막 시작된

stupefy                                             깜짝 놀라게 하다
reproachful                                         비난하는
decency                                             예절/체면
flair                                               (타고난) 재주
weary                                               지친
haughty                                             거만한
absurd                                              터무니없는/불합리
take something up                                   ~을 시작하다
exaggerated                                         과장된 
metamorphose                                        변화시키다/변하다
eminently                                           대단히
obscure                                             무명의 
disrepute                                           오명/악평
break down                                          분해하다
disentangle                                         구분하다/풀어주다
seclusion                                           호젓함
comeuppance                                         마땅한 벌
grin                                                활짝 웃다
deafening                                           귀청이 터질듯한 
blunt                                               무딘
pip                                                 과일의 씨
eavesdrop                                           엿듣다
diverse                                             다양한
diverge                                             갈라지다/분기하다 
threat                                              협박
niece                                               조카
blitz                                               공세
commemorative                                       기념하는
taper                                               점점 가늘어지다
