grudge                                                      원한
animosity                                                   반감

fortify                                                     강화하다
frantic                                                     미친듯한
frenzy                                                      광란
futile                                                      헛된
garner                                                      모으다
glean                                                       수집하다
grave                                                       심각한/무덤
gregarious                                                  사교적인
grim                                                        냉혹한
glaring                                                     두드러진 

irreversible                                                되돌릴 수 없는 
formidable                                                  위압적인
frugal                                                      검소한
gaudy                                                       천박한
generic                                                     일반적인
genuine                                                     진짜의/진실한
homeland                                                    조국
glaucoma                                                    녹내장
infrastructure                                              사회 기반 시설
turmoil                                                     소란
gridlock                                                    정체[교착]상태
approval                                                    승인
