comrade                                                     전우
artillery                                                   대포
trench                                                      도랑/해자
escort                                                      호위대

soar                                                        급등하다/솟구치다
hold                                                        잡다/보관하다
scramble                                                    서로 밀치다
opens up on                                                 맹렬히 사격하다
detonate                                                    폭발시키다
grapple                                                     발악하다
wrestle                                                     겨루다
buckle                                                      휘어지다

muted                                                       약해진
subdued                                                     조용한
sever                                                       절단하다
cluster                                                     모이다
deem                                                        간주하다
mourn                                                       애도하다 
grieve                                                      비통해하다
determined                                                  단호한
resolute                                                    단호한
stark                                                       뚜렷한
bleed energy                                                속도 줄이다
grind to a halt                                             멈추다
undeterred                                                  굴하지 않는
discouraged                                                 의욕이 꺽인
desperately                                                 필사적으로
bomber                                                      폭격기
compartment                                                 객실
