wrestle                                                     씨름하다
homegrown                                                   토착의(국내의)
verification                                                검증
shoot                                                       촬영하다/쏘다
day's work                                                  하루 일과
moderate                                                    온건한
yet(부정문)                                                 아직(부정문)
given (절or명사구)                                          ~을 고려하면

extensive                                                   광범위한
devastate                                                   파괴하다
spending cuts                                               예산삭감
personnel                                                   인원
legitimacy                                                  정당성

threshold                                                   임계점
milestone                                                   이정표
benchmark                                                   기준점
paradigm                                                    패러다임
narrative                                                   서술
accountability                                              책임
credibility                                                 신뢰성
integrity                                                   청렴/진실성
cronyism                                                    친족주의 
nepotism                                                    친족주의
patronage                                                   후원
collusion                                                   공모
conspiracy                                                  음모
