makeshift                                                   임시변통의
malpractice                                                 과실
enact                                                       제정하다
denounce                                                    비난하다
embezzle                                                    횡령하다

cottage                                                     작은 집
benevolent                                                  자애로운 
malevolent                                                  악의적인 
leaden                                                      납빛의
attentive                                             주의를 기울이는/배려하는
coalition                                                   연립정부
make-believe                                                환상

seaport                                                     항구도시
initiative                                                  계획
deep-sea                                                    심해의
animosity                                                   적대감
refugee                                                     난민
inauguration                                                취임식
inaugurate                                                  취임하게하다
unity                                                       단결
call for                                                    촉구하다
call on                                                     촉구하다
corruption                                                  부패
hasty                                                       서두른
patchy                                                      드문드문 있는
contour                                                     윤곽
besiege                                                     포위하다
materialize                                                 구체화되다
merry                                                       즐거운
disengage                                                   철수하다
jargon                                                      (전문·특수)용어
