diets                                                       식단
adopt                                                       채택하다
cavity                                                      구멍/충치
fluoride                                                    불소
resistant                                                   저항력있는
burly                                                       건장한/덩치 큰
bustle                                                      분주히 움직이다/북적거리다
canny                                                       영리한/약삭빠른
capricious                                                  변덕스러운/예측불가한
ceaseless                                                   끊임없는/계속되는
ceremonial                                                  의식의/형식적인
chronicle                                                   기록하다/연대기
coax                                                        달래다/꾀어내다
commence                                                    시작하다
conform                                                     따르다/순응하다
condense                                                    요약하다/응축하다
confide                                                     털어놓다/신뢰하다
connoisseur                                                 감정가/전문가 (예술쪽)
pundit                                                      전문가 (사회쪽)
consecutive                                                 연속적인
console                                                     위로하다
conspicuous                                                 눈에 띄는
contradict                                                  모순되다/반박하다

contrive                                                    고안하다
convoluted                                                  복잡한
cordial                                                     따뜻한
corrode                                                     부식시키다
coy                                                         수줍은/교묘한
cram                                                        억지로 밀어넣다/벼락치기하다
cower                                                       움츠리다
cringe                                                      움츠리다/민망해하다
crude                                                       조잡한/무례한
cumbersome                                                  다루기 힘든/번거로운
curt                                                        무뚝뚝한/간단한
dainty                                                      우아한/섬세한
dangle                                                      매달리다
dapper                                                      말끔한/단정한
