chills                                                      오한 
allege                                                      혐의를 주장하다
accuse                                                      혐의를 주장하다
cross into                                                  ~넘어가다
deal                                                        협약
smokestacks                                                 굴뚝
objective                                                   목적/객관적인

belated                                                     뒤늦은
disquiet                                                    불안
flattering                                                  아첨하는
parasitic                                                   기생하는
gusty                                                       돌풍이 부는
rootless                                                    뿌리를 내리지 못하는
pupil                                                       어린학생/눈동자

sanctions                                                   제재
summit                                                      정상회담
treaty                                                      조약
alliance                                                    동맹
regime                                                      정권
sovereignty                                                 주권
coalition                                                   연합
cabinet                                                     내각
legislation                                                 법안
mandate                                                     권한
veto                                                        거부권
constitution                                                헌법
constituent                                                 유권자/~을 구성하는
delegate                                                    대표자/위임하다
resolution                                                  결의안/해결 
partisan                                                    당파적인
