inaugurate                                      취임하게하다 

ineffable                                       형언할수없는
gritty                                          모래가 든/투지있는
frivolity                                       까부는 짓
perseverance                                    인내심
prim                                            고지식한
ingenuous                                       순진한 
apathetic                                       무관심한
diffident                                       소심한/조심스러운 
awry                                            빗나간
encapsulate                                     요약하다 / 압축하다
inert                                           기력이 없는
bellow                                          고함치다
enervate                                        기력을 떨어뜨리다
mettle                                          패기
long-standing                                   오래된

prone                                           ~하기 쉬운 
clampdown                                       단속
remit                                           소관
genial                                          상냥한
rule                                            판결하다
overrule                                        기각하다 
please                                          비위를 맞추다
prerequisite                                    전제조건
getaway                                         도주
disposable                                      사용 후 버리는
bijou                                           아기자기한
communicable                                    전염성의
omniscient                                      전지의/모든것을 아는
