amble                                           느긋히 걷다
ascertain                                       (옳은정보를)알아내다
jeer                                            야유하다
grasp                                           움켜잡다/파악하다
nibble                                          조금씩먹다
billow                                          부풀어오르다
infuse                                          스며들다
erode                                           침식시키다

cause                                           유발하다(~하게만들다)
under the cover of                              ~의 틈을타서
in the shadow of                                ~의 영향 아래에서
humanitarian                                    인도주의의
trip                                            출장/방문
secretary                                       장관
territory                                       지역
blockage                                        장애물
treaty                                          조약
neutrality                                      중립
distribution                                    분배/유통
gutsy                                           배짱있는
bloated                                         부은/부푼
exemplary                                       모범적인
hurl                                            (거칠게)던지다/모욕하다
better off                                      ~하는것이 좋을것이다(관용어)
prompt                                          즉각적인
spiral                                          악순환
entire                                          전체의
resignation                                     사직
raid                                            습격하다
inmate                                          수감자
resign                                          사직하다
shadow                                          미행하다
