brisk                                                       활발한/빠른
seize                                                       체포하다/장악하다/몰수하다
defeat                                                      무산시키다/저지하다
archaic                                                     구식의
aversion                                                    혐오
bewilder                                                    당황시키다
bleak                                                       절망적인 
brag                                                        허풍떨다/자랑하다
insolent                                                    버릇없는
cautious                                                    조심스러운

banish                                                      추방하다
benevolent                                                  친절한
astray                                                      잘못된 방향으로
ascent                                                      상승
aptitude                                                    적성
arbitrary                                                   임의적인/독단적인
get down to                                                 이제 집중해서 시작하다
push back                                                   미루다
hard calls                                                  어려운 결정
abusive                                                     학대하는
terms                                                       조건들
call                                                        판정
confederation                                               연합
accuracy                                                    정확도
as part of                                                  ~의 일환으로
insurance                                                   보험
suppress                                                    억누르다
align                                                       정렬하다/일치시키다
applaud                                                     박수치다
aromatic                                                    향기로운
assertive                                                   적극적인
attire                                                      의상
barren                                                      황량한
baffle                                                      당황하게 하다
ambush                                                      매복 습격하다
stratosphere                                                성층권
beige                                                       지루한
bland                                                       밋밋한
blatant                                                     노골적인
brood                                                       되씹다[곱씹다]
blunder                                                     실수하다/큰 실수
brittle                                                     부서지기 쉬운/날카로운
