complementary                           상호보완적인
flair                                   (타고난) 재주
absurd                                  터무니없는 / 불합리
complacent                              현실에 안주하는 
break down                              분해하다
appraisal                               평가
assessment                              평가
attainment                              성과
reproachful                             비난하는
conservative                            보수적인                 
detachment                              무심함 / 객관성
weary                                   지친
blunt                                   무딘
decency                                 체면

plank                                   널빤지
contemporary                            현대의
commission                              수수료 / 의뢰하다 / 위원회               
ashamed                                 부끄러운                 
afterwards                              나중에
pleasant                                상냥한                 
plot                                    구성(줄거리) 
poverty                                 가난
dwell                                   ~에 거주하다 
gouge                                   찌르다 / 박다 
haughty                                 거만한
deafening                               귀청이 터질듯한 
metamorphose                            변화시키다 / 변하다
pip                                     과일의 씨
restrain                                저지하다
flaunt                                  과시하다
obscure                                 잘 알려져 있지 않은 / 무명의 
comeuppance                             마땅한 벌
gaiety                                  흥겨움
grin                                    활짝 웃다
eminently                               대단히
eavesdrop                               엿듣다
diverse                                 다양한
threat                                  협박
formulate                               만들어내다
