adamant                                                     단호한
ascetic                                                     금욕적인
defy                                                        반항하다
dodgy                                                       의심스러운
forbearing                                                  관대한 

mend                                                        수리하다
discretionary                                               자유재량에 의한
baffle                                                      당황하게 만들다
summit                                                      정상/절정
moot                                                        고려할 가치가 없는
lesion                                                      병변
mush                                                        반죽
cavalier                                                    무신경한
deplorable                                                  개탄스러운 
abolition                                                   폐지

enforcement                                                 집행
date back                                                   ~이래 계속 존재하고 있다
prognostication                                             예언
serpentine                                                  구불구불한 
plunder                                                     약탈하다
rise above                                                  ~을 넘다
aristocratic                                                귀족적인 
twee                                                        앙증맞은
slob                                                        게으름뱅이
dynasty                                                     왕조
warmth                                                      온기
duct                                                        (배)관
sceptical                                                   회의적인
tangible                                                    만질 수 있는
preserved                                                   보존된
milestone                                                   획기적인 사건
Inc.                                                        주식회사
