dearth                                                  ~의 부족(결핍)
call on                                                 촉구하다
call for                                                예상하다/예보하다/촉구하다

intersperse                                             (…속에·사이에)배치하다
quash                                                   파기하다
iffy                                                    뭔가 부족한/불확실한
flit                                                    (가볍게)돌아다니다
jot(명사)                                               조금도 아닌
gush                                                    (액체가)솟구치다

equate                                                  동일시하다
nitty-gritty                                            핵심
ensign                                                  깃발
causes                                                  활동
acclaim                                                 칭송하다
boggy                                                   늪 같은
gainful                                                 돈벌이가 되는
authentic                                               진본인
homey                                                   편안한
clumsy                                                  어설픈
asylum                                                  정신병원/망명
constraint                                              제한/통제
gallantry                                               용맹
crease                                                  주름
disobey                                                 불복종하다
reminisce                                               추억에 잠기다
impotent                                                무력한
puncture                                                펑크
fitted                                                  붙박이인
dome                                                    반구형지붕
lyrical                                                 서정적인
patchwork                                               패치워크
rally                                                   대회
lick                                                    핥다
blockade                                                봉쇄
poised                                                  태세를 갖추고 있는
affluent                                                부유한
polluting nation                                        오염배출국
