accolade                                                    칭찬
acclaim                                                     호평
affinity                                                    친화력
amiable                                                     쾌활한
affable                                                     친절한
amicable                                                    우호적인
adjudicate                                                  판결하다
broach                                                      (주제를)꺼내다

admonish                                                    훈계하다
ambivalent                                                  양면적인
antagonize                                                  반감을 사다
assimilate                                                  (일원으로)동화하다
austere                                                     검소한
avid                                                        열광적인
banter                                                      농담하다
bland                                                       단조로운
bleak                                                       암울한
bristle                                                     발끈하다

unprecedented                                               전례없는
trend                                                       추세
bureaucracy                                                 관료(체제)
get to v                                                    ~할 수 있게 되다
stand out                                                   돋보이다
sniffer dogs                                                마약탐지견
abrupt                                                      갑작스러운
anguish                                                     고통
apt                                                         적절한
apathy                                                      무관심
appease                                                     달래다
apprehensive                                                걱정하는



                                                
