prediction                                                  예측
Hydraulic                                                   수압시스템의/수압의
grumpy                                                      성격이 나쁜
overcrowding                                                과잉수용
unmet                                                       충족되지 않는
come apart                                                  흩어지다

experiment                                                  실험하다
instruction                                                 설명/지시
aloof                                                       냉담한
recount                                                     재검표하다 
pest                                                        해충
fungal                                                      진균
spore                                                       포자
convention                                                  관습/조약
approve                                                     찬성하다/인가하다
extent                                                      크기/규모
from A through B                                            A부터 B까지
discrimination                                              차별
dismissal                                                   해고
restrictive                                                 제한하는
stab                                                        찌르다
incident                                                    사건
rate                                                        등급이 매겨지다
blunt                                                       노골적인
signify                                                     의미하다

close election                                              박빙의 선거
fruit fly                                                   초파리
next to last                                                끝에서 두번째
She is with ~                                               ~소속이다
funding shortages                                           재정부족
