uniformly                                                       균일하게
interpret                                                       해석하다/이해하다
inequality                                                      부등식/불평등

segment                                                         부분
intersect                                                       교차하다
coincident                                                      일치하는
taut                                                            팽팽한
co-vertical                                                     수직으로 일치하는
monotonically                                                   단조롭게
inductively                                                     귀납적으로
eradicate                                                       근절하다
assumption                                                      가정  
consecutive                                                     연속적인  
robustness                                                      견고함   
parallelogram                                                   평행사변형
convex                                                          볼록한
concave                                                         오목한
hull                                                            껍질
colinear                                                        동일 직선상의
straddle                                                        가로지르다/걸치다
line segment                                                    선분
polar angle                                                     극각
boundary condition                                              경계 조건
round-off error                                                 반올림 오차
prune-and-search                                                가지치기 후 탐색
monotonically increasing                                        단조 증가
vertical strip                                                  수직 영역
incremental method                                              점진적 방법
two-dimensional normal distribution                             이차원 정규 분포
it follows that                                                 ~라는 결론이 도출된다
with respect to                                                 ~에 관하여
in terms of                                                     ~의 관점에서
assume that                                                     ~라고 가정하자
