ingest                                                      섭취하다
intake                                                      섭취
apt                                                      적절한/~하는 경향이 있는

sparse                                                      드문드문한
respiratory                                                 호흡의
irreparably                                                 돌이킬 수 없을 정도로
purge                                                       제거하다/몰아내다
cure                                                        염장하다/건조시키다
pervasive                                                   만연하는
mundane                                                     일상적인
compelling                                                  설득력 있는
succinct                                                    간결한
laboratory-confirmed case                                   실험실 확진 사례
depression                                                  경제대공황
recession                                                   경기침체
upturn                                                      경기상승
downturn                                                    경기하락
solvency                                                    지급능력
insolvency                                                  지급불능
stimulus                                                    경기부양책
pundit                                                      전문가/평론가(사회쪽)
circulation                                                 발행부수
sensationalism                                              선정주의
investigative journalism                                    탐사보도
zero in on                                                  집중하다
fill in (for)                                               대신하다

get away with                                           (처벌 받지 않고)해내다
He got away with cheating on the test 

live up to                                                  기대에 부응하다
The new restaurant really lives up to its reputation for excellent food.
