prediction                                                  예측
Hydraulic                                                   수압시스템의/수압의
come apart                                                  흩어지다
grumpy                                                      성격이 나쁜
overcrowding                                                과잉수용
unmet                                                       충족되지 않는
funding shortages                                           재정부족
experiment                                                  실험하다
instruction                                                 설명/지시
aloof                                                       냉담한
close election                                              박빙의 선거
recount                                                     재검표하다 
reinstate                                                   복귀시키다
reinstate                                                   복귀시키다
reinstate                                                   복귀시키다
reinstate                                                   복귀시키다
reinstate                                                   복귀시키다
reinstate                                                   복귀시키다
reinstate                                                   복귀시키다
reinstate                                                   복귀시키다
reinstate                                                   복귀시키다
reinstate                                                   복귀시키다
reinstate                                                   복귀시키다
reinstate                                                   복귀시키다
reinstate                                                   복귀시키다
