inveterate                                          상습적인
lope                                                천천히 달리다
reciprocal                                          상호간의
inquest                                             조사
concede                                             인정하다
cede                                                양도하다
revelation                                          폭로
proprietary                                         상표가 붙은
equanimity                                          침착/평정
resolved                                            단호한 

diverge                                             분기하다
dissemble                                           가식적으로 꾸미다
lug                                                 (무거운걸)나르다
repellent                                           역겨운
alert                                               기민한/경계태세
acquaint                                            익히다/숙지하다 
indebted                                            감사하는 

courteous                                           공손한
engrossed                                           몰두한 
flop                                                실패작/털썩 주저앉다
breach                                              위반하다 
animosity                                           반감/적대감
arbitration                                         중재
ebony                                               흑단
hew                                                 자르다
belly                                               (신체기관)배
whimper                                             훌쩍이며 말하다
impose                                              (법률등을)도입하다
dubious                                             의심하는
arguably                                            틀림없이
misapprehension                                     오해
arson                                               방화
nursery                                             유치원/아기방
reimplement                                         다시 구현하다
