apathetic                                                   무관심한
abide                                                       참다/견디다  
frivolity                                                   까부는 짓

mandate                                                     권한/명령하다
entice                                                      유도하다
break up                                                    해산시키다    
ineffable                                                   형언할수없는
gritty                                                      모래가 든/투지있는
perseverance                                                인내심
prim                                                        고지식한
ingenuous                                                   순진한 
diffident                                                   소심한/조심스러운 
awry                                                        빗나간
encapsulate                                                 요약하다 / 압축하다
indeed                                                      (긍정적 진술에서)정말
amendment                                                   (법의)개정
inert                                                       기력이 없는
bellow                                                      고함치다
enervate                                                    기력을 떨어뜨리다
mettle                                                      패기
long-standing                                               오래된
mural                                                       벽화
drought                                                     가뭄
concise                                                     간결한
indelible                                                   잊을수없는
flurry                                                      소동
discordant                                                  불협화음의
denominate                                                  명명하다/액수를 매기다 
frolic                                                      (즐겁게)뛰놀다
niche                                                       편한자리/(시장의)틈새
altitude                                                    (해발)고도 
disclosure                                                  폭로
foray                                                       시도
